,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
0,163,Amstel Brouwerij B. V.,1010963392,3.0,2.0,3.0,fodeeoz,Light Lager,2.5,2.5,Amstel Light,3.5,436
1,163,Amstel Brouwerij B. V.,1010861086,2.5,3.0,3.0,jdhilt,Light Lager,2.0,2.0,Amstel Light,3.5,436
2,163,Amstel Brouwerij B. V.,1002109880,3.0,2.0,2.0,xXTequila,Light Lager,2.0,3.0,Amstel Light,3.5,436
3,163,Amstel Brouwerij B. V.,988202869,3.0,3.0,3.0,Brent,Light Lager,2.0,2.0,Amstel Light,3.5,436
4,1075,Caldera Brewing Company,1272945129,4.0,4.0,4.0,Akfan,American IPA,4.0,4.5,Caldera IPA,6.1,10784
5,1075,Caldera Brewing Company,1324238653,4.0,4.0,4.0,coldriver,American IPA,4.0,4.5,Caldera IPA,6.1,10784
6,1075,Caldera Brewing Company,1296875377,4.0,4.0,4.0,Mora2000,American IPA,4.0,4.0,Caldera IPA,6.1,10784
7,1075,Caldera Brewing Company,1297129212,4.0,4.0,4.0,Rutager,American IPA,4.0,3.5,Caldera IPA,6.1,10784
8,1075,Caldera Brewing Company,1297105083,4.5,4.0,4.0,CHILLINDYLAN,American IPA,4.0,4.0,Caldera IPA,6.1,10784
9,1075,Caldera Brewing Company,1296947627,4.5,4.5,4.0,beerman207,American IPA,4.0,4.0,Caldera IPA,6.1,10784
10,1075,Caldera Brewing Company,1296620697,3.5,4.0,4.5,grover37,American IPA,3.5,3.5,Caldera IPA,6.1,10784
11,1075,Caldera Brewing Company,1296233050,4.5,4.5,4.0,alabamatie,American IPA,4.0,4.5,Caldera IPA,6.1,10784
12,1075,Caldera Brewing Company,1296008402,4.5,4.0,4.0,bagpiper2005,American IPA,4.0,4.5,Caldera IPA,6.1,10784
13,1075,Caldera Brewing Company,1296005914,4.0,3.5,4.0,LukeD23,American IPA,4.0,4.5,Caldera IPA,6.1,10784
14,1075,Caldera Brewing Company,1295671770,4.0,4.0,4.0,JayQue,American IPA,4.0,4.0,Caldera IPA,6.1,10784
15,1075,Caldera Brewing Company,1295585824,4.0,4.5,4.5,PhageLab,American IPA,4.0,3.5,Caldera IPA,6.1,10784
16,1075,Caldera Brewing Company,1294974656,5.0,4.0,5.0,lnashsig,American IPA,4.0,4.0,Caldera IPA,6.1,10784
17,1075,Caldera Brewing Company,1294791118,4.0,4.5,5.0,mindlucent2007,American IPA,4.0,5.0,Caldera IPA,6.1,10784
18,1075,Caldera Brewing Company,1294539199,4.0,3.5,4.5,AlCaponeJunior,American IPA,4.0,4.0,Caldera IPA,6.1,10784
19,1075,Caldera Brewing Company,1294305907,4.0,3.0,4.0,corby112,American IPA,3.0,3.0,Caldera IPA,6.1,10784
20,1075,Caldera Brewing Company,1294116253,4.0,4.0,4.5,BEERchitect,American IPA,3.5,3.5,Caldera IPA,6.1,10784
